,words,counts
1074,morrow,139463.0
1075,likely,139401.0
1076,attempt,139111.0
1077,beneath,139081.0
1078,additional,139006.0
1079,built,138760.0
1080,cases,138675.0
1081,modern,138665.0
1082,surprise,138620.0
1083,orders,138520.0
1084,trade,138473.0
1085,honour,138436.0
1086,personal,138428.0
1087,authority,138243.0
1088,phrase,138207.0
1089,cast,138160.0
1090,changed,137941.0
1091,aunt,137774.0
1092,trust,137740.0
1093,walls,137732.0
1094,dress,137519.0
1095,lower,137391.0
1096,spot,137360.0
1097,sky,137259.0
1098,members,137046.0
1099,determined,136914.0
1100,removed,136583.0
1101,pleasant,136453.0
1102,running,136275.0
1103,instant,136252.0
1104,officer,136143.0
1105,passing,136081.0
1106,prepared,136054.0
1107,concerning,135970.0
1108,iron,135908.0
1109,simply,135793.0
1110,train,135639.0
1111,mountain,135600.0
1112,accepted,135528.0
1113,physical,135474.0
1114,offered,134933.0
1115,rome,134853.0
1116,dan,134659.0
1117,appears,134642.0
1118,closed,134607.0
1119,silver,134507.0
1120,forget,133961.0
1121,named,133928.0
1122,believed,133906.0
1123,talking,133871.0
1124,wise,133801.0
1125,social,133688.0
1126,allow,133630.0
1127,mark,133571.0
1128,ladies,133458.0
1129,snow,133387.0
1130,och,133297.0
1131,europe,133283.0
1132,bill,133255.0
1133,safe,133229.0
1134,begin,133047.0
1135,lead,132548.0
1136,break,132267.0
1137,supposed,132125.0
1138,memory,131679.0
1139,pleased,131663.0
1140,steps,131628.0
1141,spread,131599.0
1142,warm,131549.0
1143,laugh,131488.0
1144,matters,131473.0
1145,fish,131229.0
1146,religious,131204.0
1147,surely,131181.0
1148,etc,131181.0
1149,existence,131164.0
1150,compliance,130983.0
1151,ourselves,130847.0
1152,attack,130794.0
1153,perfectly,130713.0
1154,happiness,130585.0
1155,breath,130584.0
1156,gives,130397.0
1157,rock,130394.0
1158,looks,130383.0
1159,rise,130321.0
1160,presently,130226.0
1161,questions,129905.0
1162,month,129864.0
1163,foreign,129778.0
1164,quick,129732.0
1165,courage,129371.0
1166,replacement,129090.0
1167,encore,129086.0
1168,game,128917.0
1169,complete,128858.0
1170,roman,128805.0
1171,difficulty,128767.0
1172,search,128737.0
1173,understood,128565.0
1174,touch,128447.0
1175,mountains,128054.0
1176,ships,127993.0
1177,post,127955.0
1178,move,127841.0
1179,union,127808.0
1180,thank,127731.0
1181,higher,127462.0
1182,pale,127283.0
1183,rule,127244.0
1184,forty,127202.0
1185,share,126970.0
1186,forest,126911.0
1187,affairs,126732.0
1188,wonderful,126676.0
1189,moral,126511.0
1190,lying,126226.0
1191,promise,126188.0
1192,loss,126028.0
1193,sorry,125984.0
1194,maar,125971.0
1195,para,125956.0
1196,fixed,125949.0
1197,sufficient,125885.0
1198,box,125884.0
1199,darkness,125867.0
1200,worse,125852.0
1201,names,125702.0
1202,directly,125572.0
1203,building,125400.0
1204,indians,125263.0
1205,gentlemen,124943.0
1206,equal,124916.0
1207,ist,124894.0
1208,twelve,124739.0
1209,spent,124724.0
1210,example,124513.0
1211,working,124351.0
1212,space,124262.0
1213,iv,124225.0
1214,agreed,124158.0
1215,conduct,123971.0
1216,seat,123837.0
1217,ordered,123768.0
1218,passion,123749.0
1219,active,123291.0
1220,population,123079.0
1221,count,123008.0
1222,health,122803.0
1223,online,122788.0
1224,movement,122752.0
